,original_glrlm_RunLengthNonUniformity,original_glszm_LargeAreaEmphasis,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet-LH_firstorder_Variance,wavelet-HL_glcm_ClusterProminence,wavelet-HL_ngtdm_Complexity,wavelet-HH_glrlm_RunLengthNonUniformity,wavelet-HH_gldm_DependenceNonUniformity,wavelet-LL_firstorder_Maximum,wavelet-LL_glrlm_GrayLevelNonUniformity,wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-LL_glrlm_ShortRunHighGrayLevelEmphasis,wavelet-LL_ngtdm_Complexity,score
113,-0.6384395327280872,5.044504427287563,0.045674579196350845,0.7684366982566053,1.4255447070918834,-0.8136510554152667,2.3289869922314494,1.874284296676523,-0.18350986142781697,0.11213444830206235,-1.2408027266758712,1.3139693669514676,-0.9326940051666152,-1.4618717188384958,-1.1825348012314922,-2.3063462797176397
119,-0.9048436389401825,-0.558446099390125,-0.1347367400952149,-0.025982052877166567,0.16868677757216272,1.0909819514122454,-0.9466085891227632,-1.1248706374081234,-0.7874558394918629,-0.8490535438424199,0.5724566685169231,-1.1077449041806804,0.03736765600833986,0.45289463224724646,0.30076231966530964,-0.39742071021855224
120,1.0612370436447587,2.0028937235277082,-0.03597764174154365,2.4863700037527385,0.1110073955475659,-0.1822018289889596,0.6984103557642601,1.4898880599229267,1.7538186905790167,1.4858341461615405,0.8865288977646092,3.2878961406995977,-0.8918931407384165,-1.288231628748207,1.4703366202782595,-1.7549032138109473
124,-1.1742783273673938,-0.7423800913547653,-0.05878912228330534,-1.5286086898997595,-0.8586719777263921,-0.6656669669110906,-0.12994516913057763,-0.3677110679508969,-1.2603864195853411,-1.3733989718409634,0.8723535909978247,-0.8560728174397245,-0.7092857695414855,-0.24113211179549346,0.6028628815110535,0.5437976599450465
126,1.2800334202122199,0.3822781801061047,-0.07376913328115961,1.0775555748646457,0.6347026087264521,-0.06088438220656253,0.6962389828844232,1.2672814041578722,1.6883054719549708,1.5541697528640923,0.843768986249529,1.4072263109836973,-0.3302847285906715,0.02332894132126611,1.2413202535616166,0.029617373443445644
129,-0.6643941453380108,-0.7214709055012307,-0.10856716040046518,0.13330696820895288,-1.5721372357649084,-0.5839383157786894,1.5235285348096188,0.7627141912481815,-0.8274767909191031,-0.8275399168476336,-1.5911272346510752,-0.24006782407379115,-0.8965002390861609,-1.269097272107534,-0.8450644684965078,0.41717363020079085
130,0.22508733201751774,0.17877189463933504,-0.06046001639289085,1.2166291932834574,-0.22408071793300968,0.10667074065781118,-0.5594736711739877,-0.35478642660570675,0.4851752389279731,0.9025616296309243,-0.15248430402854599,0.8359258077255473,0.022185545513725407,-0.7155875615502197,0.03943403026174543,-0.6052437867934051
132,0.3991834924304967,-0.24714721352061222,-0.1200267168901843,0.22545577036537368,0.7652986726354077,-0.5099754249768857,3.3541093491416554,2.70594941084141,0.16943309859723152,0.14467151247396096,0.9456443985938753,0.9624047600016096,-0.8093247498726537,-0.9096830218081164,1.2205235278844477,0.00010996800383156248
133,0.7026800483616097,0.20047973674971248,-0.02777238773301621,-0.13043600867678518,0.2860408980603741,-0.005716403607514997,-0.23188561254462567,-0.09497834805650512,0.9459786137615452,1.4730372098541935,0.9492573815873817,0.31573890945836314,1.2165254112309805,1.4384476401195754,0.3463434142652572,0.15053257860332186
134,-0.30837799934779203,1.7627356204274036,-0.0398515000400272,0.327967028591883,0.849598382517816,0.09243246090754721,0.33554201403219136,0.35695217506339466,-0.08276202002914665,-0.1751991472119247,0.7030282280318398,0.5937091649810377,-0.6796320601961452,-0.356313993476153,1.3388926306389064,-1.2675199324608477
136,0.23766117911518528,7.037064290702902,0.4054656023165353,0.8917060266914286,-1.9861389093582855,-0.8465137858610561,-0.35947556764150557,0.07196635360781088,0.8503504550291493,1.9311293651207782,-2.4956272155981716,4.369246981811567,-0.9506064166378616,-1.7262621578863135,-1.923868121289716,-3.302743939260672
